EstablecimientoCodigo,EstablecimientoGlosa,RegionCodigo,RegionGlosa,ComunaCodigo,ComunaGlosa,ServicioSaludCodigo,ServicioSaludGlosa,TipoEstablecimiento,DependenciaAdministrativa,NivelAtencion,TipoUrgencia,Latitud,Longitud,NivelComplejidad,Anio,SemanaEstadistica,OrdenCausa,Causa,NumTotal,NumMenor1Anio,Num1a4Anios,Num5a14Anios,Num15a64Anios,Num65oMas,FechaAtencionTexto,SexoPaciente,PrioridadTriage,CostoAtencionCLP,FechaAtencion,NumTotalOriginal,FlagTotalCorregido,Macrozona,TrimestreAprox,CostoUnitarioCLP,NumMenor1Anio_z,Num1a4Anios_z,Num5a14Anios_z,Num15a64Anios_z,Num65oMas_z,Mes
110901,Hospital Regional de Arica Dr. Juan Noe,15,Arica y Parinacota,15101,Arica,1,Servicio de Salud Arica,Hospital,Servicio de Salud,Terciario,Hospitalaria (UEH),-18.4783,-70.3126,Alta Complejidad,2023,1,1,Influenza y neumonia,201,19,21,27,87,47,02.01.23,F,C5,87482.0,2023-01-02,201,False,Norte,T1,435.23383084577114,0.06401516562211336,0.011497901778790844,-0.015988382735343375,0.40851681673103596,0.35403967714310053,2023-01
110901,Hospital Regional de Arica Dr. Juan Noe,15,Arica y Parinacota,15101,Arica,1,Servicio de Salud Arica,Hospital,Servicio de Salud,Terciario,Hospitalaria (UEH),-18.4783,-70.3126,Alta Complejidad,2023,1,2,Infeccion respiratoria aguda alta,193,14,25,30,106,18,02.01.23,F,C4,105598.0,2023-01-02,193,False,Norte,T1,547.139896373057,-0.06720002748237526,0.09530522613078299,0.04433667000707082,0.6922637152864107,-0.24770605329102025,2023-01
110901,Hospital Regional de Arica Dr. Juan Noe,15,Arica y Parinacota,15101,Arica,1,Servicio de Salud Arica,Hospital,Servicio de Salud,Terciario,Hospitalaria (UEH),-18.4783,-70.3126,Alta Complejidad,2023,1,3,Bronquitis/Bronquiolitis aguda,654,18,19,23,588,6,02-01-2023,F,C2,135016.0,2023-01-02,94,True,Norte,T1,206.44648318042815,0.037772127001215634,-0.03040576039720523,-0.09642178639189564,7.890474510217497,-0.4967042865741047,2023-01
110901,Hospital Regional de Arica Dr. Juan Noe,15,Arica y Parinacota,15101,Arica,1,Servicio de Salud Arica,Hospital,Servicio de Salud,Terciario,Hospitalaria (UEH),-18.4783,-70.3126,Alta Complejidad,2023,1,4,Crisis asmática,74,3,11,17,35,8,2023/01/02,M,C2,59129.0,2023-01-02,74,False,Norte,T1,799.0405405405405,-0.3558734523122502,-0.19802040910118954,-0.21707189187672402,-0.3680536424731477,-0.45520458102692396,2023-01
110901,Hospital Regional de Arica Dr. Juan Noe,15,Arica y Parinacota,15101,Arica,1,Servicio de Salud Arica,Hospital,Servicio de Salud,Terciario,Hospitalaria (UEH),-18.4783,-70.3126,Alta Complejidad,2023,1,5,Insuficiencia respiratoria aguda,132,5,5,3,61,58,2023/01/02,F,C2,129001.0,2023-01-02,132,False,Norte,T1,977.280303030303,-0.30338737507045477,-0.32373139562917774,-0.49858880467465694,0.02023158712894411,0.5822880576525946,2023-01
110901,Hospital Regional de Arica Dr. Juan Noe,15,Arica y Parinacota,15101,Arica,1,Servicio de Salud Arica,Hospital,Servicio de Salud,Terciario,Hospitalaria (UEH),-18.4783,-70.3126,Alta Complejidad,2023,1,6,COVID-19 sospecha/confirmada,64,1,6,12,33,12,02-01-2023,F,C2,136764.0,2023-01-02,64,False,Norte,T1,2136.9375,-0.40835952955404564,-0.3027795645411797,-0.31761364644741436,-0.397921737057924,-0.3722051699325625,2023-01
130215,Hospital Dr. Gustavo Fricke,5,Valparaiso,5109,Vina del Mar,5,Servicio de Salud Vina del Mar-Quillota,Hospital,Servicio de Salud,Terciario,Hospitalaria (UEH),-33.0245,-71.5518,Alta Complejidad,2023,1,1,Influenza y neumonia,70,4,7,10,34,15,02-01-2023,M,C4,117539.0,2023-01-02,70,False,Centro,T1,1679.1285714285714,-0.3296304136913525,-0.2818277334531817,-0.3578303482756905,-0.3829876897655359,-0.30995561161179136,2023-01
130215,Hospital Dr. Gustavo Fricke,5,Valparaiso,5109,Vina del Mar,5,Servicio de Salud Vina del Mar-Quillota,Hospital,Servicio de Salud,Terciario,Hospitalaria (UEH),-33.0245,-71.5518,Alta Complejidad,2023,1,2,Infeccion respiratoria aguda alta,88,10,14,17,31,16,02.01.23,F,C1,85708.0,2023-01-02,88,False,Centro,T1,973.9545454545455,-0.17217218196596615,-0.13516491583719542,-0.21707189187672402,-0.4277898316427003,-0.289205758838201,2023-01
130215,Hospital Dr. Gustavo Fricke,5,Valparaiso,5109,Vina del Mar,5,Servicio de Salud Vina del Mar-Quillota,Hospital,Servicio de Salud,Terciario,Hospitalaria (UEH),-33.0245,-71.5518,Alta Complejidad,2023,1,3,Bronquitis/Bronquiolitis aguda,115,43,23,18,27,4,02-01-2023,F,C4,103557.0,2023-01-02,115,False,Centro,T1,900.4956521739131,0.6938480925236588,0.053401563954786915,-0.19696354096258595,-0.4875260208122529,-0.5382039921212854,2023-01
130215,Hospital Dr. Gustavo Fricke,5,Valparaiso,5109,Vina del Mar,5,Servicio de Salud Vina del Mar-Quillota,Hospital,Servicio de Salud,Terciario,Hospitalaria (UEH),-33.0245,-71.5518,Alta Complejidad,2023,1,4,Crisis asmática,159,15,21,45,61,17,02-01-2023,F,C2,105627.0,2023-01-02,159,False,Centro,T1,664.3207547169811,-0.040956988861477535,0.011497901778790844,0.3459619337191418,0.02023158712894411,-0.2684559060646106,2023-01
